Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Darius Miller,SF,30,OKC,14,0,10.4,1.0,2.2,.452,0.8,1.9,.407,0.2,0.3,.750,.629,0.6,0.6,1.000,0.1,1.3,1.4,1.1,0.6,0.3,0.4,0.6,3.4
Patty Mills,PG,32,SAS,39,0,25.7,4.5,10.2,.439,2.7,6.9,.394,1.8,3.3,.531,.571,1.3,1.4,.907,0.3,1.5,1.8,2.5,0.7,0.0,1.1,1.3,12.9
Paul Millsap,PF,35,DEN,32,31,23.7,3.6,7.1,.507,1.1,2.9,.380,2.5,4.2,.593,.584,1.4,2.1,.687,1.5,3.6,5.1,1.6,0.9,0.6,0.9,2.2,9.7
Shake Milton,SG,24,PHI,35,2,24.9,5.0,11.2,.449,1.0,3.3,.307,4.0,7.9,.507,.494,2.8,3.2,.875,0.5,1.7,2.3,3.1,0.7,0.3,1.6,2.3,13.9
Donovan Mitchell,SG,24,UTA,40,40,34.1,8.6,20.3,.426,3.3,8.7,.378,5.3,11.5,.462,.507,4.8,5.8,.835,1.0,3.6,4.6,5.5,1.0,0.3,3.0,2.3,25.4
E'Twaun Moore,SG,31,PHO,24,1,14.5,1.8,4.3,.422,0.3,1.2,.276,1.5,3.0,.479,.461,0.3,0.4,.800,0.5,1.2,1.8,1.5,0.6,0.2,0.8,1.3,4.3
Ja Morant,PG,21,MEM,32,32,31.5,7.0,15.9,.439,0.8,3.6,.228,6.2,12.3,.500,.465,4.6,6.0,.766,0.9,2.5,3.3,7.5,0.9,0.2,2.9,1.5,19.3
Juwan Morgan,PF,23,UTA,17,0,4.4,0.4,0.8,.429,0.2,0.6,.300,0.2,0.2,.750,.536,0.1,0.3,.200,0.2,0.6,0.8,0.2,0.2,0.0,0.1,0.7,0.9
Marcus Morris,PF,31,LAC,34,6,24.8,4.3,9.7,.441,2.3,5.1,.448,2.0,4.6,.433,.559,1.2,1.4,.872,0.7,3.1,3.8,1.1,0.5,0.3,0.8,2.0,12.1
Markieff Morris,PF,31,LAL,37,13,17.9,2.1,5.1,.406,1.0,3.0,.327,1.1,2.1,.519,.503,0.7,1.0,.703,0.7,3.5,4.2,1.1,0.2,0.3,0.6,1.7,5.8
Monte Morris,PG,25,DEN,36,10,27.2,4.0,8.5,.471,1.1,3.2,.351,2.9,5.3,.542,.536,1.3,1.8,.762,0.2,2.0,2.2,3.4,0.7,0.3,0.7,1.0,10.4
Mychal Mulder,PG,26,GSW,36,2,10.5,1.3,3.2,.417,1.1,2.8,.394,0.3,0.4,.563,.587,0.3,0.5,.588,0.0,0.9,0.9,0.4,0.2,0.2,0.2,0.8,4.0
Dejounte Murray,PG,24,SAS,39,39,31.4,6.5,14.3,.452,0.9,3.0,.314,5.5,11.3,.490,.486,1.8,2.2,.821,0.7,6.3,7.0,5.1,1.5,0.1,1.7,2.1,15.6
Jamal Murray,PG,23,DEN,40,40,35.4,7.8,16.3,.480,2.7,6.6,.411,5.1,9.6,.527,.564,2.8,3.3,.855,0.7,3.3,4.0,4.8,1.3,0.3,2.3,2.1,21.1
Mike Muscala,C,29,OKC,35,0,18.4,3.4,7.6,.446,1.9,5.3,.370,1.5,2.4,.614,.573,0.9,1.0,.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,9.7
Sviatoslav Mykhailiuk,SF,23,TOT,39,5,17.6,2.4,6.2,.387,1.6,4.7,.337,0.8,1.5,.542,.514,0.6,0.8,.800,0.3,1.8,2.1,1.6,0.8,0.2,1.1,0.9,7.0
Sviatoslav Mykhailiuk,SF,23,DET,36,5,17.6,2.3,6.2,.377,1.6,4.8,.333,0.8,1.4,.519,.504,0.7,0.8,.800,0.3,1.8,2.1,1.6,0.8,0.2,1.1,0.9,6.9
Abdel Nader,SF,27,PHO,24,0,14.8,2.4,4.8,.491,0.8,1.8,.419,1.6,3.0,.534,.569,1.2,1.5,.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7
Aaron Nesmith,SF,21,BOS,22,0,15.3,1.3,3.4,.392,0.9,2.5,.364,0.4,0.9,.474,.527,0.5,0.6,.714,0.5,1.9,2.4,0.4,0.2,0.2,0.5,1.9,4.0
Raul Neto,PG,28,WAS,36,6,20.7,2.9,6.7,.436,0.9,2.6,.359,2.0,4.1,.483,.504,0.9,1.1,.850,0.4,1.8,2.2,2.3,1.2,0.1,0.8,1.6,7.7
Georges Niang,PF,27,UTA,42,0,13.5,1.9,4.5,.411,1.1,3.1,.364,0.7,1.4,.517,.537,0.1,0.1,1.000,0.3,1.8,2.2,0.7,0.3,0.1,0.6,1.5,5.0
Zeke Nnaji,PF,20,DEN,27,1,10.5,1.4,2.6,.529,0.6,1.4,.436,0.7,1.1,.645,.650,0.2,0.3,.714,0.4,1.0,1.4,0.2,0.1,0.1,0.2,0.7,3.6
Nerlens Noel,C,26,NYK,38,16,22.5,2.1,3.3,.622,0.0,0.1,.000,2.1,3.3,.632,.622,0.7,1.0,.658,2.2,3.8,6.0,0.6,1.0,2.0,1.1,2.5,4.8
Jaylen Nowell,SG,21,MIN,29,0,18.9,3.9,8.4,.465,1.5,3.8,.391,2.4,4.7,.526,.553,1.1,1.4,.825,0.5,1.7,2.2,1.4,0.5,0.3,0.7,2.0,10.5
Frank Ntilikina,PG,22,NYK,15,3,15.0,1.5,4.1,.371,1.1,2.4,.472,0.4,1.7,.231,.508,0.4,0.8,.500,0.2,0.9,1.1,0.8,0.9,0.1,0.5,1.9,4.6
Kendrick Nunn,PG,25,MIA,35,23,28.6,5.0,11.3,.443,1.9,5.4,.353,3.1,5.9,.527,.528,1.1,1.2,.927,0.5,2.7,3.2,2.7,1.1,0.3,1.7,1.8,13.0
Jusuf Nurkić,C,26,POR,12,12,23.3,4.2,8.6,.485,0.3,1.0,.250,3.9,7.6,.516,.500,1.3,2.3,.556,1.9,5.8,7.7,2.8,0.9,0.9,1.9,2.8,9.8
David Nwaba,SF,28,HOU,30,9,22.6,3.5,7.3,.486,0.6,2.1,.270,3.0,5.2,.574,.525,1.6,2.3,.691,1.3,2.6,3.9,1.0,1.0,0.7,0.6,2.0,9.2
Jordan Nwora,SF,22,MIL,12,0,7.3,1.5,3.3,.462,0.7,1.3,.500,0.8,1.9,.435,.564,0.8,0.9,.909,0.1,1.3,1.3,0.0,0.3,0.3,0.9,0.8,4.5
Royce O'Neale,SF,27,UTA,42,42,32.4,2.5,5.7,.446,1.7,4.2,.415,0.8,1.5,.531,.598,0.6,0.8,.844,1.2,5.4,6.6,2.6,0.8,0.5,1.2,2.9,7.5
Semi Ojeleye,PF,26,BOS,39,9,19.5,1.8,4.4,.405,1.2,3.2,.387,0.6,1.3,.449,.543,0.6,0.8,.733,0.6,2.4,3.0,0.8,0.3,0.0,0.4,1.1,5.4
Jahlil Okafor,C,25,DET,12,0,10.0,2.1,3.5,.595,0.0,0.3,.000,2.1,3.3,.641,.595,0.1,0.2,.500,1.1,1.2,2.3,0.3,0.2,0.2,0.3,0.8,4.3
Chuma Okeke,PF,22,ORL,26,2,22.0,1.7,4.6,.367,0.8,2.4,.349,0.8,2.2,.386,.458,0.3,0.5,.643,0.9,2.7,3.6,1.9,0.8,0.4,0.7,1.1,4.6
Josh Okogie,SG,22,MIN,36,21,19.8,1.5,4.4,.350,0.4,1.8,.227,1.1,2.5,.440,.398,1.3,1.6,.814,0.9,1.6,2.6,1.2,0.9,0.4,0.7,2.1,4.8
Onyeka Okongwu,C,20,ATL,21,1,9.1,1.2,2.1,.591,0.0,0.0,.000,1.2,2.0,.605,.591,0.4,0.7,.600,0.8,1.5,2.3,0.2,0.3,0.5,0.4,1.5,2.9
KZ Okpala,PF,21,MIA,25,9,12.9,1.1,2.6,.409,0.4,1.5,.297,0.6,1.2,.552,.492,0.1,0.2,.333,0.6,1.4,2.0,0.4,0.2,0.3,0.5,1.8,2.7
Victor Oladipo,SG,28,TOT,29,29,33.4,7.6,18.4,.411,2.6,7.7,.333,5.0,10.7,.466,.480,3.2,4.1,.767,0.3,4.7,5.0,4.7,1.3,0.4,2.4,2.3,20.8
Victor Oladipo,SG,28,IND,9,9,33.3,7.1,16.9,.421,2.8,7.7,.362,4.3,9.2,.470,.503,3.0,4.1,.730,0.1,5.6,5.7,4.2,1.7,0.2,2.0,2.6,20.0
Victor Oladipo,SG,28,HOU,20,20,33.5,7.8,19.1,.407,2.5,7.7,.320,5.3,11.4,.465,.471,3.3,4.2,.783,0.4,4.4,4.8,5.0,1.2,0.5,2.6,2.3,21.2
Kelly Olynyk,C,29,MIA,42,37,27.2,3.9,8.8,.438,1.8,5.7,.322,2.0,3.1,.649,.542,0.7,1.0,.775,1.0,5.1,6.0,2.1,1.0,0.6,1.3,2.9,10.3
Miye Oni,SG,23,UTA,29,0,7.7,0.6,1.5,.409,0.6,1.3,.432,0.1,0.2,.286,.591,0.2,0.2,.833,0.5,1.1,1.6,0.2,0.1,0.1,0.2,1.1,2.0
Daniel Oturu,C,21,LAC,13,0,4.8,0.8,1.5,.500,0.0,0.1,.000,0.8,1.5,.526,.500,0.2,0.2,1.000,0.5,0.8,1.3,0.4,0.0,0.2,0.3,0.6,1.7
Kelly Oubre Jr.,SF,25,GSW,41,41,30.4,5.6,12.9,.434,1.6,5.2,.302,4.0,7.8,.522,.494,2.1,3.0,.705,1.3,4.4,5.8,1.3,1.1,0.8,1.3,2.2,14.9
Jabari Parker,PF,25,SAC,3,0,9.0,1.3,2.3,.571,0.0,0.3,.000,1.3,2.0,.667,.571,0.0,0.0,0,0.3,1.7,2.0,0.3,0.0,0.3,1.0,1.3,2.7
Eric Paschall,PF,24,GSW,37,2,17.4,3.7,7.6,.493,0.4,1.3,.306,3.3,6.2,.532,.520,1.6,2.3,.718,0.7,2.4,3.2,1.3,0.3,0.2,1.1,1.7,9.5
Anžejs Pasečņiks,C,25,WAS,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0
Patrick Patterson,PF,31,LAC,15,1,12.9,1.7,3.8,.456,0.9,2.5,.368,0.8,1.3,.632,.579,0.3,0.4,.667,0.5,1.5,2.0,0.5,0.3,0.1,0.5,1.3,4.7
Justin Patton,C,23,HOU,11,6,21.4,2.5,5.9,.415,0.8,2.8,.290,1.6,3.1,.529,.485,0.3,0.4,.750,1.2,2.9,4.1,1.2,1.1,1.3,0.4,3.0,6.0
Chris Paul,PG,35,PHO,40,40,31.8,6.0,12.4,.483,1.4,3.8,.380,4.6,8.7,.527,.540,2.5,2.6,.943,0.4,4.3,4.8,8.8,1.4,0.3,2.4,2.5,15.9
Cameron Payne,PG,26,PHO,30,0,16.9,2.6,5.3,.497,1.1,2.4,.458,1.5,2.9,.529,.601,0.7,0.8,.917,0.1,1.9,2.1,3.7,0.5,0.2,1.1,1.7,7.1
Elfrid Payton,PG,26,NYK,34,34,28.1,5.2,12.0,.437,0.5,1.9,.250,4.8,10.1,.472,.457,1.6,2.2,.737,1.3,2.5,3.8,3.7,0.7,0.2,1.8,1.9,12.6
Norvel Pelle,C,27,TOT,4,0,8.0,0.8,2.0,.375,0.0,0.0,0,0.8,2.0,.375,.375,0.8,1.0,.750,1.0,1.0,2.0,0.3,0.0,0.8,0.8,2.5,2.3
Norvel Pelle,C,27,SAC,1,0,4.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,3.0,4.0,.750,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
Theo Pinson,SG,25,NYK,13,0,2.2,0.1,0.6,.125,0.0,0.5,.000,0.1,0.1,1.000,.125,0.0,0.0,0,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.2,0.2
Mason Plumlee,C,30,DET,40,40,27.6,4.2,6.8,.608,0.0,0.2,.000,4.2,6.7,.622,.608,2.0,3.0,.658,2.8,6.7,9.5,3.6,0.9,0.9,2.0,3.5,10.3
Jakob Poeltl,C,25,SAS,40,22,24.3,3.3,5.3,.610,0.0,0.0,0,3.3,5.3,.610,.610,0.6,1.5,.373,3.1,4.7,7.8,1.8,0.6,1.6,1.3,2.3,7.1
Vincent Poirier,C,27,PHI,10,0,3.9,0.3,1.2,.250,0.0,0.1,.000,0.3,1.1,.273,.250,0.2,0.6,.333,0.6,0.8,1.4,0.2,0.0,0.3,0.4,0.8,0.8
Aleksej Pokusevski,PF,19,OKC,24,7,21.4,2.0,7.1,.276,0.9,3.9,.234,1.0,3.2,.329,.341,0.5,0.5,.917,0.7,4.2,4.9,1.5,0.5,1.0,1.4,1.0,5.3
Jordan Poole,SG,21,GSW,22,2,14.9,3.6,7.3,.500,1.6,4.1,.396,2.0,3.1,.638,.613,1.5,1.6,.917,0.1,1.4,1.5,1.4,0.4,0.1,0.5,1.3,10.4
Jontay Porter,PF,21,MEM,1,0,3.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
Kevin Porter Jr.,SG,20,HOU,7,4,29.1,5.9,14.0,.418,1.3,6.1,.209,4.6,7.9,.582,.464,1.9,2.9,.650,0.1,2.6,2.7,6.4,1.3,0.7,3.1,1.9,14.9
Michael Porter Jr.,SF,22,DEN,32,25,29.3,6.0,11.4,.523,2.3,5.6,.416,3.7,5.8,.626,.625,1.6,2.2,.754,1.4,6.0,7.4,0.9,0.8,1.0,1.1,2.2,15.9
Bobby Portis,C,25,MIL,42,2,21.1,4.6,8.6,.533,1.1,2.3,.469,3.5,6.3,.557,.596,0.6,0.8,.714,1.8,5.1,6.9,1.1,0.8,0.4,0.8,1.8,10.8
Kristaps Porziņģis,C,25,DAL,26,26,30.3,7.4,15.4,.480,2.2,6.0,.369,5.2,9.3,.551,.553,2.7,3.2,.843,1.8,6.8,8.6,1.3,0.4,1.6,1.3,2.8,19.7
Dwight Powell,C,29,DAL,28,8,14.5,1.3,2.8,.474,0.1,0.4,.182,1.3,2.4,.522,.487,1.7,2.3,.762,1.0,2.3,3.3,0.8,0.5,0.3,0.6,2.2,4.4
Norman Powell,SG,27,TOR,41,30,30.5,6.7,13.5,.495,2.8,6.5,.434,3.9,7.0,.550,.598,3.4,3.9,.868,0.4,2.6,3.0,1.8,1.1,0.2,1.9,2.4,19.5
Taurean Prince,PF,26,TOT,29,10,21.4,2.7,7.2,.380,1.3,3.5,.386,1.4,3.7,.374,.474,1.6,1.8,.849,0.5,3.1,3.6,1.7,0.7,0.7,1.1,1.8,8.3
Payton Pritchard,SG,23,BOS,37,1,20.2,2.7,5.9,.452,1.4,3.3,.413,1.3,2.6,.500,.566,0.5,0.5,.900,0.5,1.5,2.1,2.1,0.5,0.2,1.0,1.8,7.2
Immanuel Quickley,PG,21,NYK,38,3,20.0,4.0,10.1,.393,1.9,5.1,.371,2.1,5.0,.416,.487,2.9,3.2,.886,0.4,1.8,2.3,2.3,0.5,0.2,1.0,2.0,12.7
Jahmi'us Ramsey,SG,19,SAC,5,0,3.4,0.6,1.0,.600,0.2,0.6,.333,0.4,0.4,1.000,.700,0.0,0.0,0,0.0,0.8,0.8,0.2,0.0,0.2,0.2,0.0,1.4
Chasson Randle,PG,27,ORL,14,2,21.7,1.9,4.4,.419,1.1,3.0,.357,0.8,1.4,.550,.540,0.9,1.1,.813,0.1,2.0,2.1,2.7,0.4,0.1,1.1,1.8,5.7
Julius Randle,PF,26,NYK,43,43,37.0,8.2,17.5,.470,1.9,4.6,.414,6.3,12.9,.490,.525,4.6,5.9,.790,1.5,9.5,11.0,6.0,0.9,0.2,3.3,3.0,23.0
Cam Reddish,SF,21,ATL,26,21,28.8,3.7,10.1,.365,1.3,4.8,.262,2.4,5.3,.460,.428,2.6,3.2,.817,0.8,3.2,4.0,1.3,1.3,0.3,1.3,2.6,11.2
J.J. Redick,SG,36,NOP,31,0,18.6,2.8,6.9,.407,1.6,4.5,.364,1.2,2.4,.486,.526,1.5,1.5,.957,0.1,1.6,1.7,1.3,0.3,0.1,0.8,1.2,8.7
Paul Reed,PF,21,PHI,7,0,9.1,1.6,3.4,.458,0.0,0.4,.000,1.6,3.0,.524,.458,0.0,0.0,0,1.0,0.7,1.7,0.4,0.1,0.7,0.7,0.6,3.1
Naz Reid,C,21,MIN,41,13,19.8,4.4,8.5,.523,0.9,2.5,.340,3.6,6.0,.600,.573,1.7,2.3,.719,1.1,3.5,4.6,1.2,0.6,1.1,1.1,2.8,11.4
Josh Richardson,SG,27,DAL,32,32,32.0,4.8,10.6,.448,1.6,5.0,.319,3.2,5.6,.564,.524,2.2,2.3,.933,0.9,2.4,3.3,2.7,1.0,0.4,1.5,2.6,13.3
Austin Rivers,SG,28,NYK,21,2,21.0,2.8,6.4,.430,1.3,3.7,.364,1.4,2.8,.517,.533,0.5,0.7,.714,0.2,2.0,2.2,2.0,0.6,0.0,1.0,1.5,7.3
Duncan Robinson,SF,26,MIA,43,43,33.0,4.2,10.0,.417,3.3,8.6,.382,0.9,1.5,.619,.580,1.0,1.2,.830,0.1,3.8,3.9,1.7,0.6,0.2,1.2,2.4,12.7
Glenn Robinson III,SF,27,SAC,23,2,16.0,1.8,4.3,.424,0.7,1.9,.364,1.1,2.4,.473,.505,0.9,1.0,.913,0.5,1.5,2.0,0.9,0.2,0.1,0.5,1.0,5.3
Jerome Robinson,SG,23,WAS,13,3,17.0,1.7,5.2,.328,0.7,2.4,.290,1.0,2.8,.361,.396,1.2,1.3,.882,0.2,2.4,2.5,1.4,0.5,0.2,0.8,1.6,5.2
Mitchell Robinson,C,22,NYK,28,27,28.4,3.8,5.8,.652,0.0,0.0,0,3.8,5.8,.652,.652,0.8,1.7,.458,3.6,4.7,8.3,0.5,1.1,1.5,0.8,2.9,8.3
Isaiah Roby,PF,22,OKC,37,17,22.7,3.5,6.5,.531,0.6,1.6,.344,2.9,4.9,.594,.575,1.5,2.0,.747,1.6,3.9,5.5,1.7,0.8,0.6,1.6,2.8,9.0
Rajon Rondo,PG,34,ATL,27,2,14.9,1.6,4.1,.400,0.6,1.7,.378,1.0,2.4,.415,.477,0.0,0.1,.500,0.1,1.9,2.0,3.5,0.7,0.1,1.4,0.9,3.9
Derrick Rose,PG,32,TOT,25,3,23.5,5.0,11.7,.430,0.9,2.4,.377,4.1,9.3,.444,.469,2.5,3.0,.851,0.3,1.9,2.2,4.5,1.2,0.4,1.9,1.2,13.5
Derrick Rose,PG,32,DET,15,0,22.8,5.3,12.3,.429,0.9,2.6,.333,4.4,9.7,.455,.465,2.8,3.3,.840,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
Derrick Rose,PG,32,NYK,10,3,24.6,4.7,10.9,.431,1.0,2.2,.455,3.7,8.7,.425,.477,2.1,2.4,.875,0.1,2.5,2.6,4.9,1.1,0.6,1.9,1.2,12.5
Terrence Ross,SG,29,ORL,36,2,29.6,5.7,13.8,.414,2.3,6.3,.360,3.4,7.5,.459,.496,2.3,2.6,.894,0.3,3.2,3.5,2.3,1.1,0.5,1.7,1.9,16.0
Ricky Rubio,PG,30,MIN,41,26,26.2,2.9,7.1,.408,0.8,2.6,.318,2.1,4.5,.459,.466,2.1,2.6,.838,0.4,2.7,3.2,6.8,1.3,0.0,2.0,2.2,8.8
D'Angelo Russell,PG,24,MIN,20,19,29.2,7.0,16.3,.426,3.0,7.4,.399,4.0,8.9,.449,.517,2.4,3.2,.750,0.5,2.2,2.6,5.1,1.1,0.5,2.7,2.0,19.3
Domantas Sabonis,PF,24,IND,42,42,36.2,7.7,14.6,.525,0.8,2.6,.312,6.9,12.0,.571,.553,4.1,5.7,.718,2.5,8.7,11.2,6.2,1.2,0.6,3.4,3.5,20.2
Luka Šamanić,PF,21,SAS,13,1,9.6,1.3,3.1,.425,0.6,1.8,.333,0.7,1.2,.563,.525,0.5,1.0,.538,0.5,1.9,2.5,0.2,0.2,0.2,0.6,0.9,3.8
JaKarr Sampson,PF,27,IND,15,0,6.5,1.0,2.1,.469,0.1,0.3,.200,0.9,1.8,.519,.484,0.5,0.7,.800,0.5,1.4,1.9,0.1,0.1,0.2,0.4,0.7,2.6
Dario Šarić,C,26,PHO,23,0,19.0,3.8,8.1,.473,1.2,3.4,.359,2.6,4.7,.556,.548,1.7,2.0,.889,0.9,3.4,4.3,1.3,0.6,0.1,1.5,2.3,10.6
Dennis Schröder,SG,27,LAL,39,39,31.4,5.2,12.0,.436,1.0,3.2,.315,4.2,8.8,.480,.478,3.5,4.3,.831,0.5,2.9,3.5,4.6,1.0,0.2,2.6,2.7,15.0
Mike Scott,PF,32,PHI,24,4,16.8,1.4,3.5,.393,1.0,2.7,.359,0.4,0.8,.500,.530,0.3,0.4,.600,0.3,2.4,2.7,0.5,0.5,0.1,0.5,1.1,4.0
Pascal Siakam,PF,26,TOR,34,34,35.3,7.3,16.3,.447,1.2,4.1,.298,6.0,12.1,.498,.485,4.0,4.9,.814,1.9,5.4,7.3,4.7,1.1,0.7,2.1,3.1,19.8
Chris Silva,PF,24,MIA,11,0,7.5,0.8,1.2,.692,0.1,0.1,1.000,0.7,1.1,.667,.731,1.0,1.4,.733,0.6,1.6,2.3,0.5,0.1,0.5,0.8,1.8,2.7
Ben Simmons,PG,24,PHI,35,35,34.1,6.3,11.1,.567,0.1,0.2,.375,6.2,10.9,.571,.571,3.3,5.0,.651,1.8,6.2,8.0,7.7,1.5,0.7,3.5,3.1,15.9
Anfernee Simons,SG,21,POR,36,0,16.6,2.7,6.8,.394,1.9,4.8,.409,0.8,2.1,.360,.537,0.7,0.8,.800,0.2,2.1,2.3,1.4,0.2,0.1,0.8,1.7,8.0
Deividas Sirvydis,SG,20,DET,7,0,1.7,0.0,0.6,.000,0.0,0.6,.000,0.0,0.0,0,.000,0.1,0.3,.500,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.1,0.1
Alen Smailagić,PF,20,GSW,3,1,4.3,0.7,2.3,.286,0.3,1.3,.250,0.3,1.0,.333,.357,0.0,0.7,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7
Marcus Smart,PG,26,BOS,24,21,31.2,4.1,10.3,.398,1.8,5.4,.333,2.3,4.9,.470,.486,2.8,3.6,.779,0.5,2.3,2.8,5.4,1.5,0.5,1.7,2.4,12.8
Dennis Smith Jr.,PG,23,TOT,18,7,18.6,2.7,6.9,.395,0.9,2.8,.333,1.8,4.1,.438,.464,0.7,0.9,.750,0.6,2.0,2.6,3.4,1.1,0.7,1.1,1.6,7.1
Dennis Smith Jr.,PG,23,NYK,3,0,9.3,0.7,3.3,.200,0.0,1.3,.000,0.7,2.0,.333,.200,1.7,2.0,.833,0.0,0.7,0.7,1.0,1.0,0.0,0.3,1.3,3.0
Dennis Smith Jr.,PG,23,DET,15,7,20.4,3.1,7.6,.412,1.1,3.1,.362,2.0,4.5,.448,.487,0.5,0.7,.700,0.7,2.3,3.0,3.9,1.1,0.8,1.3,1.6,7.9
Ish Smith,PG,32,WAS,19,1,20.6,2.3,6.1,.379,0.3,1.1,.250,2.1,5.1,.406,.401,0.3,0.8,.400,0.5,2.9,3.5,4.7,0.8,0.2,1.0,0.9,5.2
Jalen Smith,PF,20,PHO,14,0,4.6,0.6,1.5,.381,0.1,0.6,.222,0.4,0.9,.500,.429,0.1,0.2,.333,0.4,0.7,1.1,0.1,0.0,0.1,0.2,0.5,1.4
Tony Snell,SG,29,ATL,30,13,19.8,2.0,3.9,.508,1.5,2.7,.568,0.5,1.2,.378,.703,0.1,0.1,1.000,0.4,1.9,2.3,1.4,0.2,0.3,0.4,1.4,5.6
Ray Spalding,C,23,HOU,2,0,9.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,1.0,.000,1.0,1.0,2.0,0.0,0.0,1.0,1.5,1.5,2.0
Cassius Stanley,SG,21,IND,11,0,2.8,0.4,1.4,.267,0.1,0.5,.200,0.3,0.9,.300,.300,0.4,0.5,.800,0.4,0.4,0.7,0.0,0.0,0.2,0.1,0.7,1.2
Isaiah Stewart,C,19,DET,40,2,19.1,2.7,4.7,.567,0.2,0.3,.462,2.5,4.4,.575,.583,0.7,1.0,.675,2.3,3.6,5.9,0.8,0.6,1.0,0.9,2.5,6.1
Max Strus,SF,24,MIA,21,0,14.0,2.4,5.1,.463,1.5,4.2,.364,0.9,1.0,.900,.611,0.5,0.7,.714,0.1,0.9,1.0,0.5,0.1,0.0,0.1,1.2,6.8
Edmond Sumner,SG,25,IND,29,5,11.8,1.8,3.7,.486,0.4,1.3,.342,1.3,2.4,.565,.547,0.9,1.1,.788,0.3,1.0,1.4,0.4,0.5,0.1,0.8,1.3,4.9
Jae'Sean Tate,SF,25,HOU,42,30,28.3,4.1,7.9,.524,0.8,2.3,.330,3.4,5.6,.604,.572,1.3,1.9,.709,1.9,3.5,5.3,1.8,1.2,0.5,1.2,3.1,10.4
Jayson Tatum,SF,22,BOS,37,37,35.5,9.1,20.4,.447,2.7,7.2,.381,6.4,13.2,.483,.514,4.0,4.7,.855,0.7,6.1,6.8,4.3,1.3,0.4,2.5,1.9,24.9
Jeff Teague,PG,32,BOS,33,5,18.2,2.2,5.5,.403,0.7,1.6,.442,1.5,3.9,.388,.467,1.5,1.8,.831,0.2,1.4,1.6,2.2,0.8,0.2,1.2,1.3,6.6
Tyrell Terry,PG,20,DAL,11,0,5.1,0.5,1.5,.313,0.0,0.6,.000,0.5,0.8,.556,.313,0.1,0.3,.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
Daniel Theis,C,28,BOS,41,36,24.3,3.8,6.8,.556,0.8,2.2,.352,3.0,4.6,.654,.613,1.1,1.6,.682,1.3,4.0,5.3,1.6,0.6,1.0,1.0,2.9,9.4
Brodric Thomas,SG,24,TOT,8,0,6.5,1.0,2.3,.444,0.4,1.4,.273,0.6,0.9,.714,.528,0.9,1.1,.778,0.1,0.5,0.6,0.9,0.3,0.1,0.5,1.0,3.3
Brodric Thomas,SG,24,HOU,4,0,6.0,0.5,1.8,.286,0.3,1.5,.167,0.3,0.3,1.000,.357,1.3,1.8,.714,0.3,0.8,1.0,1.0,0.3,0.3,1.0,1.3,2.5
Matt Thomas,SG,26,TOR,25,0,7.5,0.9,2.3,.379,0.6,1.6,.385,0.3,0.8,.368,.509,0.2,0.3,.857,0.1,0.7,0.8,0.4,0.1,0.0,0.2,0.4,2.6
Tristan Thompson,PF,29,BOS,36,31,22.5,3.3,6.2,.534,0.0,0.1,.000,3.3,6.1,.541,.534,1.3,2.2,.600,3.1,5.3,8.4,1.0,0.4,0.4,1.0,2.1,7.9
Sindarius Thornwell,SG,26,NOP,14,1,5.2,0.5,1.5,.333,0.2,0.6,.333,0.3,0.9,.333,.405,0.0,0.1,.000,0.1,0.3,0.4,0.3,0.4,0.1,0.3,0.2,1.2
Matisse Thybulle,SG,23,PHI,40,5,18.8,1.5,3.5,.417,0.7,2.1,.321,0.8,1.4,.564,.514,0.2,0.4,.571,0.5,1.2,1.8,1.0,1.5,1.0,0.4,2.1,3.8
Killian Tillie,C,22,MEM,4,0,7.5,0.5,2.5,.200,0.5,1.3,.400,0.0,1.3,.000,.300,0.3,0.5,.500,0.8,0.5,1.3,0.3,0.3,0.8,0.3,1.3,1.8
Xavier Tillman Sr.,PF,22,MEM,32,7,19.1,2.8,5.4,.523,0.3,1.1,.278,2.5,4.3,.588,.552,0.6,0.8,.741,1.3,2.9,4.3,1.5,0.9,0.6,0.8,2.3,6.6
